GPU Prolog Script v0.30
This is a GPU node.
Enough GPUs available.
Allocating card 6
['--model', 'complex', '--data', 'pathme', '--loss', 'pair_hinge', '--epochs', '500', '--learning-rate', '0.012', '--nb-negs', '6', '--batch-size', '1024', '--reg-weight', '8.181e-08', '--loss-margin', '4', '--embedding-size', '200', '--quiet', '--save_model_name', 'cplexPH_batch1024_es_200_reg_n3_rw_8181_lr_012_m_4_nbn_6_pathme', '--testrel', 'cplexPH_PATHME_relation.csv', '--rare']
MCL False
INFO:pathme_cp_PH.py:Valid: False
INFO:pathme_cp_PH.py:Device: cuda
INFO:pathme_cp_PH.py:NOT MC
INFO:pathme_cp_PH.py:Device: cuda
INFO:pathme_cp_PH.py:valid: False
INFO:pathme_cp_PH.py:Epoch 68/500	Loss 166.8382 ± 35.7167
INFO:pathme_cp_PH.py:Epoch 69/500	Loss 170.1734 ± 34.8597
INFO:pathme_cp_PH.py:Epoch 70/500	Loss 168.4253 ± 33.0668
INFO:pathme_cp_PH.py:Epoch 71/500	Loss 172.8161 ± 36.9165
INFO:pathme_cp_PH.py:Epoch 72/500	Loss 163.7561 ± 33.3967
INFO:pathme_cp_PH.py:Epoch 73/500	Loss 171.2552 ± 33.1344
INFO:pathme_cp_PH.py:Epoch 74/500	Loss 168.7733 ± 31.7449
INFO:pathme_cp_PH.py:Epoch 75/500	Loss 165.3102 ± 31.2621
INFO:pathme_cp_PH.py:Epoch 76/500	Loss 174.0964 ± 35.3493
INFO:pathme_cp_PH.py:Epoch 77/500	Loss 170.7396 ± 32.9346
INFO:pathme_cp_PH.py:Epoch 78/500	Loss 165.4826 ± 34.5426
INFO:pathme_cp_PH.py:Epoch 79/500	Loss 167.8282 ± 33.4381
INFO:pathme_cp_PH.py:Epoch 80/500	Loss 171.4380 ± 35.9658
INFO:pathme_cp_PH.py:Epoch 81/500	Loss 166.6996 ± 32.2625
INFO:pathme_cp_PH.py:Epoch 82/500	Loss 166.4490 ± 34.3943
INFO:pathme_cp_PH.py:Epoch 83/500	Loss 164.5238 ± 34.9605
INFO:pathme_cp_PH.py:Epoch 84/500	Loss 157.2724 ± 28.2583
INFO:pathme_cp_PH.py:Epoch 85/500	Loss 166.3488 ± 33.0318
INFO:pathme_cp_PH.py:Epoch 86/500	Loss 170.7578 ± 31.2657
INFO:pathme_cp_PH.py:Epoch 87/500	Loss 168.1594 ± 32.1031
INFO:pathme_cp_PH.py:Epoch 88/500	Loss 157.3199 ± 33.8582
INFO:pathme_cp_PH.py:Epoch 89/500	Loss 165.5133 ± 33.9652
INFO:pathme_cp_PH.py:Epoch 90/500	Loss 162.5964 ± 35.8445
INFO:pathme_cp_PH.py:Epoch 91/500	Loss 156.6564 ± 32.0882
INFO:pathme_cp_PH.py:Epoch 92/500	Loss 163.5314 ± 33.7661
INFO:pathme_cp_PH.py:Epoch 93/500	Loss 162.7961 ± 33.9312
INFO:pathme_cp_PH.py:Epoch 94/500	Loss 163.2254 ± 34.6745
INFO:pathme_cp_PH.py:Epoch 95/500	Loss 159.3880 ± 35.7742
INFO:pathme_cp_PH.py:Epoch 96/500	Loss 160.8814 ± 34.6070
INFO:pathme_cp_PH.py:Epoch 97/500	Loss 164.7107 ± 34.1804
INFO:pathme_cp_PH.py:Epoch 98/500	Loss 163.2806 ± 31.1355
INFO:pathme_cp_PH.py:Epoch 99/500	Loss 155.8027 ± 33.9262
INFO:pathme_cp_PH.py:Epoch 100/500	Loss 155.7495 ± 31.4781
INFO:pathme_cp_PH.py:Epoch 101/500	Loss 160.9994 ± 33.5472
INFO:pathme_cp_PH.py:Epoch 102/500	Loss 156.0212 ± 33.6720
INFO:pathme_cp_PH.py:Epoch 103/500	Loss 157.0858 ± 35.5544
INFO:pathme_cp_PH.py:Epoch 104/500	Loss 157.4674 ± 29.7599
INFO:pathme_cp_PH.py:Epoch 105/500	Loss 155.9455 ± 32.9576
INFO:pathme_cp_PH.py:Epoch 106/500	Loss 160.6519 ± 29.6448
INFO:pathme_cp_PH.py:Epoch 107/500	Loss 154.6603 ± 32.4268
INFO:pathme_cp_PH.py:Epoch 108/500	Loss 166.8903 ± 33.6264
INFO:pathme_cp_PH.py:Epoch 109/500	Loss 162.9593 ± 35.1533
INFO:pathme_cp_PH.py:Epoch 110/500	Loss 155.1450 ± 33.6590
INFO:pathme_cp_PH.py:Epoch 111/500	Loss 162.1048 ± 29.7988
INFO:pathme_cp_PH.py:Epoch 112/500	Loss 159.8162 ± 30.7434
INFO:pathme_cp_PH.py:Epoch 113/500	Loss 160.6614 ± 33.5267
INFO:pathme_cp_PH.py:Epoch 114/500	Loss 164.8138 ± 38.2363
