Relation,MRR,h@1,h@3,h@10
0,0.21300623110272632,0.121875,0.21875,0.403125
1,0.17181746952553525,0.07407407407407407,0.16666666666666666,0.3611111111111111
2,0.15537726888575165,0.06328818309201308,0.1569360112097151,0.337225595516114
3,0.15196184672937896,0.062162162162162166,0.15243243243243243,0.33513513513513515
4,0.1154499333599747,0.04341317365269461,0.10553892215568862,0.24550898203592814
5,0.15856867203645833,0.07131410256410256,0.16025641025641027,0.31971153846153844
6,0.14778641744669957,0.05839002267573696,0.14512471655328799,0.3310657596371882
7,0.1627810831606844,0.07613293051359517,0.1610271903323263,0.33353474320241694
8,0.13489530756264398,0.05128205128205128,0.12393162393162394,0.32905982905982906
9,0.09478828237782795,0.027950310559006212,0.07142857142857142,0.2391304347826087
10,0.13625158666342657,0.056303549571603426,0.12974296205630356,0.28886168910648713
11,0.1274058711946666,0.05061349693251534,0.1165644171779141,0.2791411042944785
12,0.11117625786968485,0.046798029556650245,0.09852216748768473,0.2413793103448276
13,0.11651992011110923,0.03955696202531646,0.10284810126582279,0.27689873417721517
14,0.0973193492783737,0.02102803738317757,0.0794392523364486,0.2523364485981308
15,0.12863732946292952,0.04956896551724138,0.125,0.28663793103448276
16,0.1224650340192133,0.0550935550935551,0.10187110187110188,0.25467775467775466
17,0.1558723791416143,0.06351851851851852,0.15074074074074073,0.35555555555555557
18,0.15141291979012256,0.06976744186046512,0.14825581395348839,0.31976744186046513
19,0.14105276654463914,0.0755813953488372,0.10465116279069768,0.2558139534883721
20,0.11309334494709054,0.04054054054054054,0.11261261261261261,0.2702702702702703
21,0.15753160271669328,0.0622568093385214,0.14202334630350194,0.377431906614786
22,0.10488956387526295,0.03587443946188341,0.09417040358744394,0.23318385650224216
23,0.12398310217959446,0.05334987593052109,0.11910669975186104,0.2456575682382134
24,0.14810078090927814,0.0611587982832618,0.15343347639484978,0.3143776824034335
25,0.12165204563621222,0.04353932584269663,0.1151685393258427,0.2893258426966292
26,0.12872459469595182,0.0475609756097561,0.12195121951219512,0.2804878048780488
27,0.1872129360019947,0.1044776119402985,0.1865671641791045,0.31343283582089554
28,0.14442610030342953,0.06147540983606557,0.13934426229508196,0.3237704918032787
29,0.11916233985573246,0.04197271773347324,0.11385099685204617,0.26180482686253936
30,0.20758977459791578,0.10135474159558455,0.21650777722027095,0.4362769693928751
31,0.20476287665741233,0.11298701298701298,0.2038961038961039,0.3935064935064935
32,0.15153595838819134,0.06131549609810479,0.14381270903010032,0.3450390189520624
33,0.14719898488259375,0.06451612903225806,0.13886703383162863,0.3206136900078678
34,0.22540796146936398,0.13675213675213677,0.2606837606837607,0.3717948717948718
35,0.2134128467071912,0.11032863849765258,0.22300469483568075,0.43427230046948356
36,0.12310194924237616,0.03731343283582089,0.11442786069651742,0.2960199004975124
37,0.15026183454639677,0.07608695652173914,0.1358695652173913,0.30434782608695654
38,0.10507795723814603,0.04090909090909091,0.08636363636363636,0.23333333333333334
39,0.13476870685260287,0.0552738336713996,0.12981744421906694,0.29411764705882354
40,0.14468653535396475,0.06534653465346535,0.13267326732673268,0.3069306930693069
41,0.130823275963837,0.05244755244755245,0.12237762237762238,0.2880244755244755
42,0.1687752927955299,0.07608695652173914,0.15942028985507245,0.37318840579710144
43,0.13674679476228463,0.056010928961748634,0.11475409836065574,0.30327868852459017
44,0.1788617196726556,0.08461538461538462,0.16923076923076924,0.36153846153846153
45,0.13144870919299345,0.03865979381443299,0.12371134020618557,0.35309278350515466
46,0.12268745492724652,0.035326086956521736,0.12228260869565218,0.30434782608695654
47,0.14164796051293366,0.050724637681159424,0.16666666666666666,0.2898550724637681
48,0.17075332449052066,0.07647058823529412,0.1588235294117647,0.35294117647058826
49,0.1573676697897353,0.06237816764132553,0.17641325536062377,0.3382066276803119
50,0.19294214153107106,0.07042253521126761,0.21830985915492956,0.4647887323943662
51,0.15780401930671575,0.07407407407407407,0.13425925925925927,0.33641975308641975
52,0.178504217290535,0.07317073170731707,0.15853658536585366,0.42073170731707316
53,0.14988653361092244,0.06428571428571428,0.12142857142857143,0.36428571428571427
54,0.18166784029326463,0.08163265306122448,0.195578231292517,0.3792517006802721
55,0.14761546463719397,0.07246376811594203,0.13768115942028986,0.3007246376811594
56,0.23224555227331783,0.1318181818181818,0.25681818181818183,0.43636363636363634
57,0.152133531930676,0.06862745098039216,0.12745098039215685,0.3088235294117647
58,0.17574488691776102,0.077992277992278,0.1806949806949807,0.37104247104247107
59,0.1594789343239637,0.06593406593406594,0.14835164835164835,0.4065934065934066
60,0.1500343452826757,0.06746031746031746,0.14285714285714285,0.3082010582010582
61,0.13501089622875156,0.046875,0.140625,0.28515625
62,0.1483808581667671,0.06691449814126393,0.1412639405204461,0.3141263940520446
63,0.1387234807623102,0.05829596412556054,0.13004484304932734,0.31390134529147984
64,0.14837940118435616,0.06028368794326241,0.14716312056737588,0.32505910165484636
65,0.1797709636160066,0.088,0.156,0.432
66,0.14539231905003763,0.05190311418685121,0.1453287197231834,0.33217993079584773
67,0.30180498809576806,0.15934065934065933,0.35714285714285715,0.5879120879120879
68,0.14562866420185244,0.04794520547945205,0.14383561643835616,0.3493150684931507
