SE:C0262627	160	43.44	33.44	4.38	inf	36.84	41.88	15.31	inf
SE:C0027092	54	14.54	37.96	7.41	inf	12.58	43.52	25.0	inf
SE:C0000737	2141	82.41	12.38	1.19	0.057	40.03	30.31	5.39	0.135
SE:C0036983	925	69.82	15.46	2.11	0.07	46.82	24.81	4.59	0.113
SE:C0033774	1336	74.25	13.1	1.53	0.061	48.31	23.76	4.3	0.109
SE:C0038002	624	57.64	21.31	2.96	0.094	39.86	33.25	11.38	0.187
SE:C0015695	882	66.25	16.16	1.87	0.071	43.66	27.55	5.56	0.13
SE:C0018802	1655	77.73	12.08	1.36	0.057	41.7	25.35	4.92	0.12
SE:C0262397	117	29.68	38.46	3.42	inf	25.04	44.44	11.97	inf
SE:C0042847	161	43.87	32.61	5.9	inf	37.08	40.99	15.84	inf
SE:C0009763	817	67.21	16.28	1.47	0.068	45.88	28.58	6.3	0.141
SE:C0005779	652	67.65	17.33	2.45	0.077	49.8	24.54	5.83	0.123
SE:C0041296	203	33.2	21.67	0.99	inf	29.35	25.86	2.96	inf
SE:C0277925	316	63.09	16.46	1.9	inf	53.63	23.58	5.54	inf
SE:C0265031	214	61.02	17.99	3.04	0.084	51.13	23.6	5.84	0.12
SE:C0024312	232	58.27	18.97	3.02	inf	50.07	23.06	4.96	inf
SE:C0018824	481	61.52	18.81	1.46	0.074	46.54	28.17	5.51	0.131
SE:C0002871	2700	82.66	11.65	1.41	0.055	34.59	29.93	4.69	0.13
SE:C0011053	516	64.96	19.38	2.81	0.088	49.9	28.59	8.62	0.156
SE:C0024894	86	9.19	52.91	8.14	inf	7.91	56.98	20.35	inf
SE:C0036830	111	14.89	26.13	2.25	inf	13.04	31.53	3.15	inf
SE:C0004030	257	54.35	23.15	3.31	0.097	42.48	32.1	9.14	0.164
SE:C0029163	223	54.65	17.04	1.35	inf	48.39	19.96	2.24	inf
SE:C0003578	403	67.44	17.12	2.85	inf	55.67	23.08	4.71	inf
SE:C0016199	466	59.72	19.64	2.25	0.085	44.08	29.83	7.19	0.149
SE:C0013384	712	73.24	16.01	1.69	0.067	55.0	22.12	4.07	0.104
SE:C0017672	410	62.1	17.8	2.93	inf	48.84	25.24	6.71	inf
SE:C0025160	67	3.88	45.52	12.69	inf	3.1	47.76	23.13	inf
SE:C0699791	122	16.71	27.87	3.28	inf	13.89	34.84	15.16	inf
SE:C0007787	953	70.46	14.11	1.47	0.062	47.26	22.98	3.57	0.104
SE:C0004604	1993	74.32	13.25	1.66	0.061	33.23	34.97	9.08	0.178
SE:C0026821	385	53.7	20.78	2.99	0.093	40.28	35.84	8.31	0.173
SE:C0003962	897	62.77	18.67	2.29	0.081	40.82	30.6	6.3	0.143
SE:C0011849	1271	70.94	12.94	1.3	0.059	41.61	26.12	4.41	0.122
SE:C0041952	117	23.68	38.89	4.7	inf	20.24	43.59	14.1	inf
SE:C0149756	213	39.16	32.16	3.29	0.12	28.88	49.3	18.08	0.274
SE:C0149721	201	53.06	19.65	3.73	inf	45.6	23.38	5.47	inf
SE:C0021092	92	11.54	41.3	5.98	inf	9.86	45.11	11.41	inf
SE:C0018989	660	67.42	16.82	1.74	0.072	50.27	25.68	4.02	0.115
SE:C0013362	986	72.72	13.84	1.72	0.065	49.35	25.2	5.27	0.122
SE:C0015732	505	60.78	16.34	1.29	0.069	44.87	25.25	5.74	0.126
SE:C0030252	1144	74.0	14.77	1.75	0.066	48.05	25.09	6.03	0.129
SE:C0033953	276	44.76	25.36	3.08	0.104	32.82	40.58	9.6	0.199
SE:C0004601	366	52.58	23.22	3.14	0.102	39.98	33.61	6.97	0.158
SE:C0302592	65	7.9	56.92	6.92	inf	6.51	61.54	33.85	inf
SE:C0040136	194	45.74	22.94	2.06	inf	38.02	29.12	5.93	inf
SE:C0019322	184	44.16	25.27	4.35	inf	36.73	32.34	8.15	inf
SE:C0034372	69	0.1	10.14	10.14	inf	0.1	10.14	10.14	inf
SE:C0019284	85	34.67	32.94	3.53	inf	29.56	44.12	13.53	inf
SE:C1456784	513	60.76	17.64	1.27	0.073	42.43	30.6	5.56	0.14
SE:C0262365	71	25.65	38.73	7.75	inf	21.65	47.18	16.9	inf
SE:C0030319	324	55.5	19.91	3.4	0.095	41.06	28.4	6.33	0.142
SE:C0007868	82	16.09	52.44	3.05	inf	13.27	56.71	24.39	inf
SE:C0033038	70	2.66	40.71	5.0	inf	2.16	42.14	18.57	inf
SE:C0031542	294	49.48	20.92	2.04	0.09	39.21	34.69	6.46	0.159
SE:C0018817	138	9.32	59.06	14.13	inf	7.33	64.49	28.99	inf
SE:C0027962	220	44.1	25.0	1.59	0.09	34.01	39.77	11.59	0.213
