Relation,MRR,h@1,h@3,h@10
8,0.035863127331979945,0.015348722986247544,0.028364440078585462,0.06569253438113949
1,0.04485752330157104,0.022272433828276306,0.04293092317624274,0.08005164622336991
7,0.17251444201459662,0.10149286987522281,0.17825311942959002,0.2787433155080214
3,0.02110795094888543,0.005821474773609315,0.014877102199223804,0.03816300129366106
9,0.5071456230679386,0.3279727095516569,0.4852582846003899,0.6235380116959064
10,0.39133670505438795,0.28434095278786586,0.4503311258278146,0.5855586413159581
14,0.3198228278655757,0.18833283979863785,0.3642286052709505,0.6051228901391768
0,0.13678655754576113,0.07234399329260989,0.155467720685112,0.27901545095220986
5,0.04860937044302647,0.01695692025664528,0.03975710357470211,0.10632447296058661
19,0.029646286755119412,0.01089108910891089,0.0297029702970297,0.05841584158415842
4,0.022890417594715412,0.004409769335142469,0.015603799185888738,0.04511533242876527
13,0.36641522605381693,0.2670789991565926,0.41087995501827385,0.5559460219285915
11,0.0285426106487172,0.009030704394942806,0.019416014449127033,0.05930162552679109
12,0.13092835259158292,0.08686310620012277,0.14119091467157766,0.21961325966850828
2,0.04414630000731015,0.018292682926829267,0.040396341463414635,0.0861280487804878
6,0.2834250413567217,0.2055793991416309,0.3240343347639485,0.4446351931330472
21,0.04944230827033143,0.01916376306620209,0.047038327526132406,0.10104529616724739
16,0.06238278949290694,0.03545051698670606,0.061299852289512555,0.11447562776957164
23,0.08387195163039414,0.047872340425531915,0.0851063829787234,0.13829787234042554
17,0.017526417106821665,0.0015723270440251573,0.012578616352201259,0.03773584905660377
18,0.02578803652897648,0.007575757575757576,0.022727272727272728,0.050505050505050504
22,0.0281035422000687,0.012048192771084338,0.024096385542168676,0.060240963855421686
15,0.040922595155751765,0.02558139534883721,0.03488372093023256,0.06744186046511629
25,0.0008727835022914181,0.0,0.0,0.0
26,8.810641368201879e-05,0.0,0.0,0.0
20,0.02966548848603544,0.015384615384615385,0.026923076923076925,0.05
24,0.007990726407844546,0.0,0.009433962264150943,0.018867924528301886
