  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]INFO:hyperopt.tpe:build_posterior_wrapper took 0.003077 seconds
INFO:hyperopt.tpe:TPE using 0 trials
                                                                               ['--batch-size', '2048', '--data', 'covid', '--embedding-size', '114', '--epochs', '600', '--learning-rate', '0.9011883450558777', '--loss', 'pw_logistic', '--model', 'complex', '--nb-negs', '50', '--quiet', '--reg-weight', '5.2090201030525835e-05', '--valid']
  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]                                                                               MCL
  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]                                                                               False
  0%|                                   | 0/50 [00:00<?, ?trial/s, best loss=?]INFO:bayesian.py:Valid: True
INFO:bayesian.py:Device: cuda
INFO:bayesian.py:NOT MC
INFO:bayesian.py:Device: cuda
INFO:bayesian.py:valid: True
INFO:bayesian.py:Epoch 72/600	Loss 6677.4421 ± 314.9254
INFO:bayesian.py:Epoch 73/600	Loss 6663.8541 ± 296.7290
INFO:bayesian.py:Epoch 74/600	Loss 6656.5113 ± 329.7100
INFO:bayesian.py:Epoch 75/600	Loss 6586.3931 ± 332.4459
INFO:bayesian.py:Epoch 76/600	Loss 6520.5658 ± 299.8565
INFO:bayesian.py:Epoch 77/600	Loss 6515.4922 ± 292.5415
INFO:bayesian.py:Epoch 78/600	Loss 6477.1441 ± 302.5420
INFO:bayesian.py:Epoch 79/600	Loss 6448.7202 ± 290.8165
INFO:bayesian.py:Epoch 80/600	Loss 6419.1188 ± 305.5928
INFO:bayesian.py:Epoch 81/600	Loss 6389.7959 ± 282.9813
INFO:bayesian.py:Epoch 82/600	Loss 6352.7151 ± 301.3795
INFO:bayesian.py:Epoch 83/600	Loss 6361.3228 ± 302.5824
INFO:bayesian.py:Epoch 84/600	Loss 6328.0327 ± 318.5105
INFO:bayesian.py:Epoch 85/600	Loss 6281.6898 ± 296.9447
INFO:bayesian.py:Epoch 86/600	Loss 6248.4682 ± 285.2237
INFO:bayesian.py:Epoch 87/600	Loss 6230.3860 ± 272.7589
INFO:bayesian.py:Epoch 88/600	Loss 6207.3472 ± 300.1193
INFO:bayesian.py:Epoch 89/600	Loss 6164.1837 ± 291.4855
INFO:bayesian.py:Epoch 90/600	Loss 6152.9241 ± 298.7505
INFO:bayesian.py:Epoch 91/600	Loss 6105.8678 ± 307.1287
INFO:bayesian.py:Epoch 92/600	Loss 6117.5591 ± 294.7862
INFO:bayesian.py:Epoch 93/600	Loss 6074.9266 ± 289.8942
INFO:bayesian.py:Epoch 94/600	Loss 6047.0908 ± 275.3332
INFO:bayesian.py:Epoch 95/600	Loss 6007.4914 ± 283.5775
INFO:bayesian.py:Epoch 96/600	Loss 6016.1817 ± 298.2824
INFO:bayesian.py:Epoch 97/600	Loss 5977.9702 ± 296.8518
INFO:bayesian.py:Epoch 98/600	Loss 5963.4960 ± 267.1206
INFO:bayesian.py:Epoch 99/600	Loss 5943.4862 ± 288.4849
INFO:bayesian.py:Epoch 100/600	Loss 5917.9389 ± 275.1467
INFO:bayesian.py:Validating
INFO:bayesian.py:done
INFO:bayesian.py:metrics done
INFO:bayesian.py:Best validation metrics 0.07126547763802667
INFO:bayesian.py:Epoch 101/600	Loss 5891.6465 ± 280.5044
INFO:bayesian.py:Epoch 102/600	Loss 5873.8147 ± 297.5741
INFO:bayesian.py:Epoch 103/600	Loss 5832.9262 ± 274.5366
INFO:bayesian.py:Epoch 104/600	Loss 5815.3125 ± 268.9285
INFO:bayesian.py:Epoch 105/600	Loss 5819.6478 ± 285.9600
INFO:bayesian.py:Epoch 106/600	Loss 5794.5715 ± 298.2297
INFO:bayesian.py:Epoch 107/600	Loss 5795.2484 ± 254.1772
INFO:bayesian.py:Epoch 108/600	Loss 5775.4892 ± 290.4543
