Relation,MRR,h@1,h@3,h@10
8,0.09804912441647322,0.047396856581532414,0.09847740667976425,0.19204322200392926
1,0.08408531818600302,0.04712717882504842,0.08037443511943189,0.15138799225306648
7,0.2228107443718378,0.14861853832442068,0.2464349376114082,0.3714349376114082
3,0.0472839520972754,0.016170763260025874,0.03880983182406209,0.09896507115135834
9,0.42130692329503355,0.3111598440545809,0.47721734892787526,0.6329191033138402
10,0.41845234058281966,0.30826746421704765,0.4750053407391583,0.629886776329844
14,0.41798574810888584,0.28812555522653244,0.47779093870299083,0.6720461948474977
0,0.16262136474892258,0.08845370703078213,0.17768595041322313,0.31548688465684516
5,0.08322540531121068,0.03368469294225481,0.07985792850595784,0.17426672777268562
19,0.048374882102541476,0.01485148514851485,0.04455445544554455,0.10693069306930693
4,0.05873333607306917,0.023744911804613297,0.048507462686567165,0.11804613297150611
13,0.43362047452397556,0.3235872926623559,0.4865054821478774,0.6544841158279449
11,0.06343400705072086,0.023780854906682723,0.055087296809151115,0.13245033112582782
12,0.18333400108162842,0.11586863106200122,0.202731737262124,0.31936771025168814
2,0.07125170408706212,0.035823170731707314,0.06326219512195122,0.1326219512195122
6,0.29292683898172506,0.2,0.33369098712446355,0.46909871244635193
21,0.11451714490045273,0.06794425087108014,0.11498257839721254,0.1986062717770035
16,0.11336358210716413,0.055391432791728215,0.11964549483013294,0.22968980797636632
23,0.18469209666379274,0.13297872340425532,0.18085106382978725,0.2978723404255319
17,0.059472761229558545,0.026729559748427674,0.05188679245283019,0.11949685534591195
18,0.058974260311487184,0.023989898989898988,0.04924242424242424,0.12121212121212122
22,0.07828455996951636,0.04819277108433735,0.0783132530120482,0.12650602409638553
15,0.06610573633620728,0.03488372093023256,0.05813953488372093,0.12790697674418605
25,0.04543567881187549,0.0,0.0125,0.2
26,0.5132472826086957,0.5,0.5,0.5
20,0.07170436187618824,0.05384615384615385,0.06153846153846154,0.09615384615384616
24,0.043023582520536376,0.018867924528301886,0.03773584905660377,0.07547169811320754
