Relation,MRR,h@1,h@3,h@10
8,0.040278272396740276,0.009823182711198428,0.026154223968565815,0.08411100196463654
1,0.04237320099878515,0.012265978050355068,0.03324725629438347,0.09167204648160103
7,0.04741837369095558,0.016377005347593582,0.03888146167557932,0.09525401069518717
3,0.02901107709955687,0.007761966364812419,0.017464424320827943,0.05109961190168176
9,0.09280100592710566,0.023026315789473683,0.09381091617933723,0.2328216374269006
10,0.12119078379292243,0.07444990386669514,0.11493270668660542,0.21181371501815852
14,0.24175491691995832,0.12570328694107197,0.2639917086171158,0.4936334024281907
0,0.0703466921745484,0.009821535513235119,0.07449994011258833,0.18750748592645824
5,0.051511108418871555,0.012946837763519707,0.03838221814848763,0.1154903758020165
19,0.027164403668934384,0.0049504950495049506,0.015841584158415842,0.054455445544554455
4,0.03353505073064989,0.008141112618724558,0.0203527815468114,0.06682496607869742
13,0.09591948949099731,0.041186393027832446,0.09165026707899916,0.19665448411582795
11,0.035307404780611916,0.004515352197471403,0.020921131848284168,0.08112582781456953
12,0.06248785512835566,0.021792510742786986,0.05923879680785758,0.14119091467157766
2,0.03787475527726701,0.009908536585365854,0.027439024390243903,0.07088414634146341
6,0.06556421406686384,0.022317596566523604,0.06201716738197425,0.14356223175965666
21,0.05196948442787579,0.020905923344947737,0.03832752613240418,0.09059233449477352
16,0.052335807513783535,0.01846381093057607,0.04357459379615953,0.10635155096011817
23,0.09194240207304967,0.03723404255319149,0.09042553191489362,0.1702127659574468
17,0.025283064677582942,0.0031446540880503146,0.0110062893081761,0.050314465408805034
18,0.03437114342839991,0.006313131313131313,0.021464646464646464,0.07575757575757576
22,0.053263955916139125,0.024096385542168676,0.04216867469879518,0.0963855421686747
15,0.038763544215888276,0.009302325581395349,0.030232558139534883,0.08139534883720931
25,0.036215767354918174,0.0,0.025,0.125
26,0.22592592592592592,0.0,0.5,0.75
20,0.029421328307382304,0.0038461538461538464,0.023076923076923078,0.07692307692307693
24,0.04078845728341547,0.02830188679245283,0.02830188679245283,0.03773584905660377
