['--model', 'complex', '--data', 'covid', '--loss', 'pw_logistic', '--epochs', '600', '--learning-rate', '0.278', '--batch-size', '2048', '--reg-weight', '7.01e-08', '--embedding-size', '200', '--nb-negs', '50', '--quiet', '--save_model_name', 'cplex_covid_PW_lr_278_bsize_2048_rw_7010_es_200_nbneg_50_forREL', '--testrel', 'best_cplex_covidPW_rel.csv']
MCL False
INFO:best_cplex_covid_PW.py:Valid: False
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:NOT MC
INFO:best_cplex_covid_PW.py:Device: cuda
INFO:best_cplex_covid_PW.py:valid: False
INFO:best_cplex_covid_PW.py:Epoch 65/600	Loss 1263.6909 ± 69.7823
INFO:best_cplex_covid_PW.py:Epoch 66/600	Loss 1265.8142 ± 63.2126
INFO:best_cplex_covid_PW.py:Epoch 67/600	Loss 1261.0575 ± 62.3475
INFO:best_cplex_covid_PW.py:Epoch 68/600	Loss 1255.4341 ± 60.0280
INFO:best_cplex_covid_PW.py:Epoch 69/600	Loss 1254.8375 ± 62.7401
INFO:best_cplex_covid_PW.py:Epoch 70/600	Loss 1254.5112 ± 70.5387
INFO:best_cplex_covid_PW.py:Epoch 71/600	Loss 1253.0108 ± 64.2388
INFO:best_cplex_covid_PW.py:Epoch 72/600	Loss 1253.6385 ± 65.0925
INFO:best_cplex_covid_PW.py:Epoch 73/600	Loss 1251.7843 ± 62.5803
INFO:best_cplex_covid_PW.py:Epoch 74/600	Loss 1240.8406 ± 62.7639
INFO:best_cplex_covid_PW.py:Epoch 75/600	Loss 1240.2158 ± 68.2300
INFO:best_cplex_covid_PW.py:Epoch 76/600	Loss 1242.2983 ± 62.2229
INFO:best_cplex_covid_PW.py:Epoch 77/600	Loss 1233.8662 ± 62.6436
INFO:best_cplex_covid_PW.py:Epoch 78/600	Loss 1239.0922 ± 62.7988
INFO:best_cplex_covid_PW.py:Epoch 79/600	Loss 1229.7571 ± 62.3497
INFO:best_cplex_covid_PW.py:Epoch 80/600	Loss 1228.6983 ± 62.0785
INFO:best_cplex_covid_PW.py:Epoch 81/600	Loss 1227.9373 ± 66.7975
INFO:best_cplex_covid_PW.py:Epoch 82/600	Loss 1228.6582 ± 65.1282
INFO:best_cplex_covid_PW.py:Epoch 83/600	Loss 1224.8079 ± 63.3353
INFO:best_cplex_covid_PW.py:Epoch 84/600	Loss 1222.6523 ± 58.7211
INFO:best_cplex_covid_PW.py:Epoch 85/600	Loss 1221.7849 ± 60.8278
INFO:best_cplex_covid_PW.py:Epoch 86/600	Loss 1221.2347 ± 65.6594
INFO:best_cplex_covid_PW.py:Epoch 87/600	Loss 1217.6219 ± 59.9624
INFO:best_cplex_covid_PW.py:Epoch 88/600	Loss 1216.6795 ± 62.0529
INFO:best_cplex_covid_PW.py:Epoch 89/600	Loss 1214.8243 ± 66.9923
INFO:best_cplex_covid_PW.py:Epoch 90/600	Loss 1209.8587 ± 55.4805
INFO:best_cplex_covid_PW.py:Epoch 91/600	Loss 1208.2518 ± 60.5994
INFO:best_cplex_covid_PW.py:Epoch 92/600	Loss 1207.3325 ± 67.9141
INFO:best_cplex_covid_PW.py:Epoch 93/600	Loss 1211.5063 ± 55.5136
INFO:best_cplex_covid_PW.py:Epoch 94/600	Loss 1203.0780 ± 61.7333
INFO:best_cplex_covid_PW.py:Epoch 95/600	Loss 1201.6507 ± 56.4824
INFO:best_cplex_covid_PW.py:Epoch 96/600	Loss 1200.1095 ± 62.3858
INFO:best_cplex_covid_PW.py:Epoch 97/600	Loss 1200.5803 ± 62.6846
INFO:best_cplex_covid_PW.py:Epoch 98/600	Loss 1198.2931 ± 59.0544
INFO:best_cplex_covid_PW.py:Epoch 99/600	Loss 1200.4003 ± 59.4727
INFO:best_cplex_covid_PW.py:Epoch 100/600	Loss 1196.8482 ± 63.7349
INFO:best_cplex_covid_PW.py:Epoch 101/600	Loss 1201.3192 ± 57.6961
INFO:best_cplex_covid_PW.py:Epoch 102/600	Loss 1192.8061 ± 62.7342
INFO:best_cplex_covid_PW.py:Epoch 103/600	Loss 1190.7095 ± 56.7637
INFO:best_cplex_covid_PW.py:Epoch 104/600	Loss 1192.9576 ± 59.2139
INFO:best_cplex_covid_PW.py:Epoch 105/600	Loss 1190.9050 ± 56.2053
INFO:best_cplex_covid_PW.py:Epoch 106/600	Loss 1182.2032 ± 58.8691
INFO:best_cplex_covid_PW.py:Epoch 107/600	Loss 1187.8334 ± 61.3440
INFO:best_cplex_covid_PW.py:Epoch 108/600	Loss 1184.6788 ± 61.7812
INFO:best_cplex_covid_PW.py:Epoch 109/600	Loss 1183.9007 ± 63.1791
INFO:best_cplex_covid_PW.py:Epoch 110/600	Loss 1181.6443 ± 57.0018
INFO:best_cplex_covid_PW.py:Epoch 111/600	Loss 1183.7360 ± 62.1571
INFO:best_cplex_covid_PW.py:Epoch 112/600	Loss 1184.2119 ± 63.5199
INFO:best_cplex_covid_PW.py:Epoch 113/600	Loss 1181.6346 ± 60.1575
INFO:best_cplex_covid_PW.py:Epoch 114/600	Loss 1178.9987 ± 58.6091
INFO:best_cplex_covid_PW.py:Epoch 115/600	Loss 1174.7896 ± 58.9812
INFO:best_cplex_covid_PW.py:Epoch 116/600	Loss 1176.4588 ± 56.2833
INFO:best_cplex_covid_PW.py:Epoch 117/600	Loss 1175.7226 ± 60.1076
INFO:best_cplex_covid_PW.py:Epoch 118/600	Loss 1177.1290 ± 62.2921
INFO:best_cplex_covid_PW.py:Epoch 119/600	Loss 1172.7602 ± 57.4067
INFO:best_cplex_covid_PW.py:Epoch 120/600	Loss 1176.1651 ± 56.5049
INFO:best_cplex_covid_PW.py:Epoch 121/600	Loss 1175.5418 ± 58.9515
INFO:best_cplex_covid_PW.py:Epoch 122/600	Loss 1168.5692 ± 61.8067
INFO:best_cplex_covid_PW.py:Epoch 123/600	Loss 1170.2279 ± 53.6524
INFO:best_cplex_covid_PW.py:Epoch 124/600	Loss 1161.8412 ± 59.9277
INFO:best_cplex_covid_PW.py:Epoch 125/600	Loss 1168.8673 ± 58.1500
INFO:best_cplex_covid_PW.py:Epoch 126/600	Loss 1170.0497 ± 57.0303
INFO:best_cplex_covid_PW.py:Epoch 127/600	Loss 1161.8531 ± 60.2299
INFO:best_cplex_covid_PW.py:Epoch 128/600	Loss 1164.3168 ± 58.1170
INFO:best_cplex_covid_PW.py:Epoch 129/600	Loss 1162.5148 ± 54.3163
INFO:best_cplex_covid_PW.py:Epoch 130/600	Loss 1158.5850 ± 59.5762
INFO:best_cplex_covid_PW.py:Epoch 131/600	Loss 1158.2882 ± 57.3608
INFO:best_cplex_covid_PW.py:Epoch 132/600	Loss 1158.7436 ± 58.6941
INFO:best_cplex_covid_PW.py:Epoch 133/600	Loss 1157.0116 ± 52.2768
INFO:best_cplex_covid_PW.py:Epoch 134/600	Loss 1157.6711 ± 53.7658
