Relation,MRR,h@1,h@3,h@10
8,0.03368919468621211,0.006507858546168959,0.02443516699410609,0.06999017681728881
1,0.03593645676992256,0.011943189154293092,0.028728211749515817,0.07617817947062622
7,0.2351785450726302,0.1498440285204991,0.2799688057040998,0.40641711229946526
3,0.02005246892243771,0.003234152652005175,0.01034928848641656,0.040103492884864166
9,0.4891959680711602,0.38535575048732945,0.5576267056530214,0.6759259259259259
10,0.47659635237487435,0.35569322794274727,0.5633411664174321,0.6920529801324503
14,0.17687193599805504,0.07521468759253776,0.1832987859046491,0.4065738821439147
0,0.06863648363781345,0.02497305066475027,0.06665468918433345,0.15181458857348185
5,0.040662257071783774,0.011571952337305225,0.03230980751604033,0.08146196150320807
19,0.02698207020660897,0.007920792079207921,0.020792079207920793,0.0594059405940594
4,0.02244435488980401,0.0027137042062415195,0.013907734056987787,0.04613297150610583
13,0.49428784845861845,0.3744728703964015,0.5840596007871802,0.7076187798706776
11,0.02985492360831202,0.006773028296207104,0.020319084888621313,0.06321493076459964
12,0.07007820308302043,0.03360957642725598,0.06936771025168816,0.14195825659914058
2,0.035928949173048105,0.009146341463414634,0.028201219512195123,0.08307926829268293
6,0.33513918615813904,0.23476394849785406,0.3982832618025751,0.5203862660944206
21,0.04664300517381691,0.008710801393728223,0.0313588850174216,0.12020905923344948
16,0.04596455166198399,0.019940915805022157,0.03692762186115214,0.08124076809453472
23,0.07765021592111286,0.02127659574468085,0.09042553191489362,0.18085106382978725
17,0.023977895332641018,0.006289308176100629,0.0110062893081761,0.055031446540880505
18,0.029113420424965293,0.010101010101010102,0.016414141414141416,0.06186868686868687
22,0.019652384179033682,0.0,0.012048192771084338,0.05421686746987952
15,0.038621026028243126,0.018604651162790697,0.030232558139534883,0.06744186046511629
25,0.046677913038611754,0.0375,0.0375,0.0625
26,0.503945526282296,0.5,0.5,0.5
20,0.013078326926331558,0.0,0.0038461538461538464,0.03076923076923077
24,0.027728205753244136,0.009433962264150943,0.02830188679245283,0.04716981132075472
